Total Contract Value (TCV),Account Name,Opportunity Name,Opportunity Stage,Fiscal Period,Opportunity Closure Date,Lead Source,Opportunity Type,Opportunity Owner,Secondary Practice Area,Gross Profit Margin (GPM %),Ascendion Office,Start Date,End Date,Last Modified Date,Commit Status,Probability (%),Created Date,Opportunity Creation Date as per User,Procurement Process,Execution Approach,Account Manager,Super Merge Client Name,Opportunity ID,ID(18 Characters),Previous Opportunity Stage,Opportunity Last Stage change Date,AVA Offering_Tracking,AVA Offering Multi Select Drop down (Val,AVA Platform Considered (Yes/No)?,Proactive?,Alliance Partner,Industry BU Group,Practice,Amount
139800,Johnson & Johnson,JnJ - Power Apps Data Analytics POD,Negotiation/Review,Q4-2023,11/17/23,Cold call,New Business,Srikanth bogadapati,,28,"SoCal, CA",11/6/23,12/31/24,10/20/23,Commit,80,10/20/23,,Direct,Engineering projects,Kristie Shirkavand,Johnson & Johnson,0065c00001O5GQ5,0065c00001O5GQ5AAN,,10/19/23 17:00,,,,Yes,,HCLS,Health Tech,
139000,Rhyno,Automated Validation to Health Checks Transformation,Negotiation/Review,Q4-2023,10/30/23,Client Referral,New Business,alexandra henderson,,,"Raleigh, NC",10/17/23,12/31/23,10/19/23,Commit,80,10/10/23,,Direct,Engineering projects,Carson Kilpatrick,,0065c00001NiCNW,0065c00001NiCNWAA3,Negotiation/Review,10/9/23 17:00,,,,No,,HCLS,Health Tech,
500000,Stryker Corporation,Stryker - Labeling as a Service,Inquiry,Q1-2024,1/14/24,Cold call,New Business,Megan Campbell,,,"Bay Area, CA",,,9/18/23,Low confidence,0,6/1/23,6/1/23,Direct,Engineering projects,Alyssa Stephenson,,0065c00001G4iAd,0065c00001G4iAdAAJ,Inquiry,5/31/23 17:00,,,,Yes,,HCLS,Health Tech,
5800000,Care Source Inc,Guiding care support and Architecture assesment,Proposal Creation,Q4-2023,12/1/23,Other,New Business,Santosh Dash,,33,Direct - No Region,12/4/23,12/31/26,10/19/23,,30,10/19/23,,Direct,Engineering projects,No Geo AM Involved,,0065c00001O518t,0065c00001O518tAAB,,10/18/23 17:00,,,,Yes,HealthEdge,HCLS,Health Tech,
979400,Kenvue,Kenvue - Infrastructure Mgt,Negotiation/Review,Q4-2023,11/10/23,Client Referral,New Business,Srikanth bogadapati,,35,Direct - No Region,11/6/23,12/31/24,10/23/23,Commit,80,8/22/23,8/22/23,Direct,Engineering projects,No Geo AM Involved,,0065c00001Mmyqh,0065c00001MmyqhAAB,Negotiation/Review,10/18/23 17:00,,,,Yes,,HCLS,Health Tech,
110000,Novo Nordisk,Commercial Analytics - Reporting,Negotiation/Review,Q4-2023,12/4/23,Employee Referral,New Business,Srikanth bogadapati,,30,Direct - No Region,12/4/23,12/3/24,10/19/23,Commit,80,10/19/23,,Direct,Engineering projects,No Geo AM Involved,,0065c00001O51mm,0065c00001O51mmAAB,,10/18/23 17:00,,,,Yes,,HCLS,Health Tech,
1500000,Care Source Inc,Guidingcare and Epic Support/Enhancement,Negotiation/Review,Q4-2023,11/10/23,Other,New Business,praveen gopinath,,,Direct - No Region,11/10/23,12/31/24,10/10/23,High quality,80,8/22/23,8/1/23,Proactive pitch,Engineering projects,No Geo AM Involved,,0065c00001Mmz95,0065c00001Mmz95AAB,Negotiation/Review,8/21/23 17:00,,,,Yes,,HCLS,Health Tech,
400000,Bristol-Myers Squibb (BMS),BMS - Commercial Analytics - Miranda,Proposal Creation,Q4-2023,11/17/23,Cold call,New Business,Srikanth bogadapati,,40,"Charlotte, NC",1/8/24,6/27/24,10/19/23,High quality,30,6/29/23,6/29/23,Direct,Engineering projects,Lindsey Lord,Bristol-Myers Squibb (BMS),0065c00001K4ll7,0065c00001K4ll7AAB,Proposal Creation,8/1/23 17:00,,,,Yes,,HCLS,Health Tech,
250000,Bristol-Myers Squibb (BMS),BMS - Gen AI Commercial Analytics (VAP) - Gen AI - Derek Hay,Negotiation/Review,Q4-2023,12/18/23,Cold call,New Business,Srikanth bogadapati,,35,NYNJ,12/18/23,2/21/24,10/2/23,High quality,80,7/12/23,7/12/23,Direct,Engineering projects,Julia Stella,Bristol-Myers Squibb (BMS),0065c00001K8ZSL,0065c00001K8ZSLAA3,Negotiation/Review,7/26/23 17:00,,,,Yes,,HCLS,Generative AI,
100000,"Aetna, Inc.",Medicare Sales - Generative AI,Negotiation/Review,Q4-2023,10/27/23,Other,New Business,Sudhanshu Shekhar,,33,Direct - No Region,10/2/23,2/29/24,10/19/23,Commit,80,9/21/23,,Direct,Engineering projects,No Geo AM Involved,"Aetna, Inc.",0065c00001NJ993,0065c00001NJ993AAD,Proposal Presentation,10/18/23 17:00,,,,Yes,,HCLS,Generative AI,
100000,"Aetna, Inc.",Gen AI MVP for CVS Supply Chain,Negotiation/Review,Q4-2023,11/10/23,Employee Referral,New Business,Jitendra V. Kumar,,40,Direct - No Region,11/1/23,1/31/24,10/19/23,High quality,80,10/19/23,,Proactive pitch,Engineering projects,No Geo AM Involved,"Aetna, Inc.",0065c00001O4yUL,0065c00001O4yULAAZ,Proposal Presentation,10/18/23 17:00,,,,Yes,,HCLS,Generative AI,
1300000,Pfizer Inc.,"Pfizer - Manufacturing - SOPs, OJTs, WIs ( Digitization, Change MGT, Training)",Proposal Presentation,Q4-2023,12/8/23,Client Referral,New Business,Srikanth bogadapati,,40,"Charlotte, NC",12/4/23,8/4/25,10/19/23,High quality,50,8/30/23,8/30/23,RFP driven,Engineering projects,Lindsey Lord,Pfizer Inc.,0065c00001MpO1G,0065c00001MpO1GAAV,Qualification,10/18/23 17:00,,,,Yes,,HCLS,Generative AI,
200000,Hewlett-Packard Company,Ava Oneview- EeaaS,Qualification,Q4-2023,12/1/23,Other,New Business,kaelin brand,,40,"Austin, TX",11/1/23,10/31/24,9/13/23,Low confidence,20,7/31/23,7/31/23,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001JE9FO,0065c00001JE9FOAA1,Qualification,7/30/23 17:00,,,,Yes,,HiTech,Enterprise Architecture,
1500000,Hewlett-Packard Company,Proactive Vendor Consolidation,Proposal Creation,Q4-2023,11/1/23,Client Referral,New Business,Travis Valadez,,28,"Houston, TX",11/1/23,10/31/24,7/31/23,,30,7/31/23,7/31/23,Proactive pitch,Engineering projects,Travis Valadez,Hewlett-Packard Company,0065c00001JE8XZ,0065c00001JE8XZAA1,,7/30/23 17:00,,,,Yes,,HiTech,Enterprise Architecture,
250000,"Amazon.com, Inc.",Amazon: Amazon Robotics Operations- Carlo Valentine,Inquiry,Q4-2023,12/31/23,Cold call,New Business,kora micklesen,,,"Seattle, WA",,,10/4/23,Low confidence,0,10/4/23,,Direct,Engineering projects,Kora Micklesen,"Amazon.com, Inc.",0065c00001Nh2If,0065c00001Nh2IfAAJ,,10/3/23 17:00,,,,Yes,,HiTech,Enterprise Architecture,
1500000,Hewlett-Packard Company,UI Path using generative AI Automation -,Proposal Creation,Q4-2023,10/31/23,Geo,New Business,kaelin brand,,35,"Austin, TX",8/28/23,7/31/25,8/10/23,High quality,30,5/25/23,2/17/23,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001G32bT,0065c00001G32bTAAR,Proposal Creation,6/13/23 17:00,,,,Yes,AWS,HiTech,Platform Engineering,
2000000,Hewlett-Packard Company,Cloud Operations - Sales Applications,Proposal Creation,Q4-2023,10/31/23,Cold call,New Business,kaelin brand,,40,"Austin, TX",10/16/23,9/30/27,8/2/23,High quality,30,6/22/23,6/20/23,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001IYyuU,0065c00001IYyuUAAT,Qualification,8/1/23 17:00,,,,Yes,,HiTech,Platform Engineering,
134880,Hewlett-Packard Company,Dynamics CRM applications,Proposal Creation,Q4-2023,11/1/23,Cold call,New Business,kaelin brand,,40,"Austin, TX",11/30/23,1/31/25,10/20/23,High quality,30,6/22/23,10/31/23,RFI,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001IYyvX,0065c00001IYyvXAAT,Proposal Creation,7/19/23 17:00,,,,Yes,Microsoft,HiTech,Platform Engineering,
500000,Hewlett-Packard Company,E-Commerce Modernization,Inquiry,Q4-2023,12/1/23,Geo,New Business,kaelin brand,,,"Austin, TX",10/3/23,9/29/24,9/13/23,Low confidence,0,4/13/23,4/14/23,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001BGV0Z,0065c00001BGV0ZAAX,Inquiry,8/10/23 17:00,,,,Yes,,HiTech,Platform Engineering,
300000,Meta Platforms Inc.,Meta - BPE Products Software Engineering,Inquiry,Q1-2024,3/31/24,Geo,New Business,Kash Upadhyay,Product/Platform Modernization,35,"Bay Area, CA",7/1/24,12/31/24,9/13/23,Low confidence,0,7/27/22,8/1/22,None,Engineering projects,Matthew Connely,"Facebook, Inc.",0065c000011ziyD,0065c000011ziyDAAQ,Inquiry,9/12/23 17:00,,,No,Yes,,HiTech,Platform Engineering,
2000000,Microsoft Corporation,Microsoft: DCO - Expansion - Dan Woodman/Will Quarterman,Proposal Presentation,Q4-2023,10/27/23,Client Referral,New Business,nicholas hollenbeck,,35,"Seattle, WA",11/1/23,6/30/24,9/28/23,Commit,50,8/16/23,8/16/23,Direct,Engineering projects,Nicholas Hollenbeck,Microsoft Corporation,0065c00001MgfN6,0065c00001MgfN6AAJ,Proposal Presentation,9/5/23 17:00,,,,No,,HiTech,Platform Engineering,
1500000,"Red Hat, Inc.",10 person SOW - onshore/offshore,Negotiation/Review,Q4-2023,11/1/23,Client Referral,New Business,Akash Tiwari,,40,"Raleigh, NC",11/1/23,11/1/24,10/16/23,Commit,80,9/28/23,,Direct,Engineering projects,Kelly Hagan,"Red Hat, Inc.",0065c00001NfeAG,0065c00001NfeAGAAZ,Qualification,10/15/23 17:00,,,,No,,HiTech,Platform Engineering,
100000,"Red Hat, Inc.",Red Hat A.AVA OneView w/ Danielle & Charles,Qualification,Q4-2023,10/2/23,Client Referral,New Business,kelly hagan,,,"Raleigh, NC",8/1/23,1/1/24,9/8/23,Low confidence,20,6/9/23,6/9/23,Proactive pitch,Engineering projects,Kelly Hagan,"Red Hat, Inc.",0065c00001H8E9U,0065c00001H8E9UAAV,Qualification,6/8/23 17:00,,,,Yes,,HiTech,Platform Engineering,
500000,Meta Platforms Inc.,Meta - VR Tooling & Infra Automation,Inquiry,Q1-2024,3/31/24,Cold call,New Business,Kash Upadhyay,,30,"Bay Area, CA",4/1/24,12/31/24,9/19/23,Low confidence,0,9/18/23,,RFP driven,Engineering projects,Jaeda LaRocca,"Facebook, Inc.",0065c00001NIYQ6,0065c00001NIYQ6AAP,Inquiry,9/17/23 17:00,,,,No,,HiTech,Platform Engineering,
100000,Meta Platforms Inc.,Meta - Wireless System Validation Engineers,Inquiry,Q1-2024,3/31/24,Geo,New Business,Kash Upadhyay,Product/Platform Modernization,35,"Bay Area, CA",7/1/24,12/31/24,9/13/23,Low confidence,0,2/22/23,2/22/23,Direct Procurement,DDS,Jaeda LaRocca,"Facebook, Inc.",0065c000018GdZd,0065c000018GdZdAAK,Inquiry,8/20/23 17:00,,,No,No,,HiTech,Platform Engineering,
360000,"Amazon.com, Inc.",Amazon: Mechanical Engineer- Amazon Robotics- Awadhesh Thakur,Inquiry,Q4-2023,12/31/23,Cold call,New Business,kora micklesen,,,"Seattle, WA",,,10/13/23,Low confidence,0,10/13/23,,Direct,Engineering projects,Kora Micklesen,"Amazon.com, Inc.",0065c00001NisXo,0065c00001NisXoAAJ,,10/12/23 17:00,,,,Yes,,HiTech,Platform Engineering,
250000,"Amazon.com, Inc.",Amazon: Amazon Fulfillment Technology- Kathy Schneider,Inquiry,Q1-2024,1/1/24,Cold call,New Business,kora micklesen,,,"Seattle, WA",,,9/27/23,Low confidence,0,9/27/23,,Direct,Engineering projects,Kora Micklesen,"Amazon.com, Inc.",0065c00001NfRPp,0065c00001NfRPpAAN,,9/26/23 17:00,,,,Yes,,HiTech,Platform Engineering,
250000,"Amazon.com, Inc.",Amazon: FEE - AWS Transcribe- Gopikrishnan Anilkumar,Proposal Creation,Q2-2024,4/30/24,Client Referral,New Business,kora micklesen,,30,"Seattle, WA",1/1/24,1/30/26,10/10/23,Low confidence,30,4/10/23,8/31/23,Direct,Engineering projects,Kora Micklesen,"Amazon.com, Inc.",0065c00001BFyfr,0065c00001BFyfrAAD,Inquiry,10/9/23 17:00,,,,Yes,,HiTech,Platform Engineering,
237600,"Zoom Video Communications, Inc.",Zoom: Platform Engineering: PRM_SelfService_Incentive_DealReg Managed Services Dev opportunity,Proposal Creation,Q4-2023,11/30/23,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",12/1/23,1/31/24,10/20/23,Commit,80,8/29/23,8/29/23,Direct,Engineering projects,Dillon Mcfarland,"Zoom Video Communications, Inc.",0065c00001MpCVS,0065c00001MpCVSAA3,Proposal Creation,9/4/23 17:00,,,,No,,HiTech,Platform Engineering,
1000000,Meta Platforms Inc.,Meta - Asset Warehouse NORAM,Inquiry,Q1-2024,3/31/24,Other,New Business,Kash Upadhyay,,35,"Bay Area, CA",7/1/24,12/31/24,9/27/23,Low confidence,0,8/23/23,8/23/23,Direct,Engineering projects,Ranya Decastro,"Facebook, Inc.",0065c00001MnEmo,0065c00001MnEmoAAF,Inquiry,8/22/23 17:00,,,,No,,HiTech,Platform Engineering,
100000,Meta Platforms Inc.,Meta - Asset Management Enterprise Eng.,Inquiry,Q1-2024,3/31/24,Geo,New Business,Kash Upadhyay,,35,"Bay Area, CA",7/1/24,12/31/24,9/13/23,Low confidence,0,3/14/23,3/14/23,Direct,Engineering projects,Ranya Decastro,"Facebook, Inc.",0065c000019m0GP,0065c000019m0GPAAY,Inquiry,8/21/23 17:00,,,,Yes,,HiTech,Platform Engineering,
500000,Hewlett-Packard Company,HP Software R&D Projects - GPU,Qualification,Q1-2024,1/1/24,Geo,New Business,Travis Valadez,Experience Engineering,,"Bay Area, CA",11/1/23,11/2/26,10/2/23,Low confidence,20,2/2/23,2/2/23,Proactive pitch,Engineering projects,Brevin Vent,Hewlett-Packard Company,0065c000016eknj,0065c000016eknjAAA,Qualification,,,,Yes,Yes,,HiTech,Platform Engineering,
1000000,"FLEETCOR Technologies Operating Company, LLC",Product Engineering/Release w/ AVA,Qualification,Q4-2023,12/31/23,Employee Referral,New Business,Matthew Muller,,,"Nashville, TN",6/14/23,12/31/23,8/17/23,Low confidence,20,6/15/23,6/14/23,Direct,Engineering projects,Maleeka Catron,"FLEETCOR Technologies Operating Company, LLC",0065c00001IWDFb,0065c00001IWDFbAAP,Investigation & Analysis,8/16/23 17:00,,,,Yes,,HiTech,Platform Engineering,
30000,Huron Consulting Group,Survey tool build,Qualification,Q3-2023,9/1/23,Other,New Business,Santhosh Mukundan,,45,Direct - No Region,9/1/23,11/30/23,8/2/23,,20,8/2/23,8/2/22,Direct,Engineering projects,Santhosh Mukundan,Huron Consulting Group,0065c00001JEfhy,0065c00001JEfhyAAD,,8/1/23 17:00,,,,No,AWS,HiTech,Platform Engineering,
400000,Lenovo Group Limited,Global Device Pod,Investigation & Analysis,Q1-2024,3/31/24,Geo,New Business,Ward Sewell,,,"Raleigh, NC",4/11/24,12/31/24,9/20/23,Low confidence,10,3/1/23,3/1/23,Direct,Engineering projects,Ward Sewell,Lenovo Group Limited,0065c000018zmFH,0065c000018zmFHAAY,Investigation & Analysis,9/18/23 17:00,,,,Yes,,HiTech,Platform Engineering,
390000,"REI Systems, Inc.",Full Stack,Inquiry,Q4-2023,10/28/23,Cold call,New Business,Alok Gaur,,,Direct - No Region,,,8/10/23,Low confidence,0,6/22/23,6/15/23,Direct,JUMP,Malek Sultani,,0065c00001IZ3bz,0065c00001IZ3bzAAD,Inquiry,6/21/23 17:00,,,,Yes,,HiTech,Platform Engineering,
1,Zynga Inc,Game Designer for Willy Wonka Slots,Inquiry,Q4-2023,10/31/23,Other,New Business,Anil Malgikar,,,Direct - No Region,,,8/2/23,,50,7/13/23,7/13/23,Direct,Engineering projects,Anil Malgikar,,0065c00001LMPUp,0065c00001LMPUpAAP,Inquiry,7/12/23 17:00,,,,Yes,,HiTech,Platform Engineering,
130000,ServiceNow,ServiceNow_Direct_JUMP,Investigation & Analysis,Q4-2023,10/9/23,Other,New Business,malek sultani,,,Direct - No Region,10/16/23,10/14/24,8/9/23,Low confidence,10,8/9/23,8/9/23,Direct,JUMP,,,0065c00001Me3Ai,0065c00001Me3AiAAJ,,8/8/23 17:00,,,,Yes,,HiTech,Platform Engineering,
130000,Unanet Inc,Unanet_Partnerhsip_Referral,Inquiry,Q4-2023,11/20/23,Client Referral,New Business,malek sultani,,,Direct - No Region,10/23/23,10/21/24,9/12/23,Low confidence,0,9/12/23,9/12/23,Direct,JUMP,,,0065c00001NHCG8,0065c00001NHCG8AAP,,9/11/23 17:00,,,,Yes,,HiTech,Platform Engineering,
300000,Lenovo Group Limited,Platform Engineering/ Tool Dev,Qualification,Q4-2023,11/30/23,Industry,New Business,Rohit Ramachandran,Product/Platform Modernization,45,"Raleigh, NC",1/31/24,1/30/25,9/20/23,Low confidence,20,9/10/20,9/21/20,None,Engineering projects,Ward Sewell,Lenovo Group Limited,0063i000007Gxqj,0063i000007GxqjAAC,Qualification,,,,Yes,Yes,,HiTech,Platform Engineering,15000000
24000000,Microsoft Corporation,Microsoft: CSS - Data Engineering & Management - Joe Swart,Investigation & Analysis,Q4-2023,12/29/23,Geo,New Business,jennifer gray,Data Migration,30,"Seattle, WA",12/31/23,8/31/24,9/13/23,Low confidence,10,2/15/23,2/15/23,Direct,Engineering projects,Jennifer Gray,Microsoft Corporation,0065c000017XQs0,0065c000017XQs0AAG,Investigation & Analysis,,,,Yes,Yes,,HiTech,AI & Data Engineering,
14784,Hewlett-Packard Company,UI Path- HP - Q1 Extension,Proposal Presentation,Q4-2023,10/31/23,Cold call,New Business,kaelin brand,,,"Austin, TX",11/1/23,1/31/24,10/20/23,High quality,50,10/20/23,,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001O5Hnf,0065c00001O5HnfAAF,,10/19/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
39936,Hewlett-Packard Company,GenAI - HP- Q1 Extension,Proposal Presentation,Q4-2023,10/31/23,Cold call,New Business,kaelin brand,,,"Austin, TX",11/1/23,1/31/24,10/20/23,High quality,50,10/20/23,,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001O5HpM,0065c00001O5HpMAAV,,10/19/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
13440,Hewlett-Packard Company,BPM Transformation Q1 Extension,Proposal Presentation,Q4-2023,10/31/23,Cold call,New Business,kaelin brand,,35,"Austin, TX",11/1/23,1/31/24,10/20/23,High quality,50,10/20/23,,Direct,Engineering projects,Kaelin Brand,Hewlett-Packard Company,0065c00001O5HIm,0065c00001O5HImAAN,,10/19/23 17:00,,,,No,,HiTech,AI & Data Engineering,
1,"Ingram Micro, Inc.",Bulk Digital need,Inquiry,Q4-2023,10/31/23,Other,New Business,kristie shirkavand,,,"SoCal, CA",,,9/7/23,Low confidence,30,8/9/23,8/3/23,RFP driven,Engineering projects,Kristie Shirkavand,"Ingram Micro, Inc.",0065c00001Me6RZ,0065c00001Me6RZAAZ,Inquiry,8/8/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
1000000,Meta Platforms Inc.,Meta - PSO Client Data Services Customer 360,Inquiry,Q1-2024,3/31/24,Geo,New Business,Kash Upadhyay,Analytics & Visualization,35,"Bay Area, CA",7/1/24,12/31/24,9/13/23,Low confidence,0,8/4/22,8/4/22,None,Engineering projects,Matthew Connely,"Facebook, Inc.",0065c000012cqM0,0065c000012cqM0AAI,Inquiry,9/12/23 17:00,,,No,No,,HiTech,AI & Data Engineering,
2000000,Meta Platforms Inc.,Meta - Data Engineer & Data Scientist (Nearshore),Inquiry,Q1-2024,3/31/24,Geo,New Business,Kash Upadhyay,Analytics & Visualization,30,"Bay Area, CA",7/1/24,12/31/24,9/26/23,Low confidence,0,2/20/23,2/20/23,Direct Procurement,Engineering projects,Matthew Connely,"Facebook, Inc.",0065c000018FaXD,0065c000018FaXDAA0,Inquiry,9/12/23 17:00,,,No,Yes,,HiTech,AI & Data Engineering,
100000,"Zendesk, Inc.",Zendesk - Data Engineering - Australia,Investigation & Analysis,Q4-2023,12/31/23,Geo,New Business,Matthew Connely,,35,"Bay Area, CA",10/1/23,12/31/23,7/14/23,Low confidence,10,4/5/23,4/5/23,Direct,Engineering projects,Matthew Connely,"Zendesk, Inc.",0065c00001BFEqV,0065c00001BFEqVAAX,Investigation & Analysis,6/28/23 17:00,,,,No,,HiTech,AI & Data Engineering,
1000000,Meta Platforms Inc.,Meta - Infrastructure Data Engineers,Inquiry,Q1-2024,3/31/24,Geo,New Business,Matthew Connely,ETL,35,"Bay Area, CA",7/1/24,12/31/24,9/13/23,Low confidence,0,1/23/23,1/16/23,None,Engineering projects,Matthew Connely,"Facebook, Inc.",0065c000016c7hG,0065c000016c7hGAAQ,Inquiry,9/12/23 17:00,,,No,Yes,,HiTech,AI & Data Engineering,
150000,Microsoft Corporation,Microsoft: SCHIE - Data Migration - Jason Tongarm,Qualification,Q4-2023,11/30/23,Geo,New Business,nicholas hollenbeck,,30,"Seattle, WA",12/1/23,6/30/26,10/5/23,Low confidence,20,4/27/23,4/27/23,Direct,Engineering projects,Nicholas Hollenbeck,Microsoft Corporation,0065c00001CapJo,0065c00001CapJoAAJ,Investigation & Analysis,10/4/23 17:00,,,,No,Databricks,HiTech,AI & Data Engineering,
100000,TTEC Holdings Inc,TTEC Data Platform,Proposal Presentation,Q1-2023,3/14/23,Industry,New Business,carson kilpatrick,Data Quality,,"Raleigh, NC",2/8/23,3/14/23,9/8/23,High quality,50,2/19/23,2/9/23,N/A,Engineering projects,Carson Kilpatrick,,0065c000018FGWk,0065c000018FGWkAAO,Proposal Presentation,,,,,,,HiTech,AI & Data Engineering,
400000,Twilio Inc.,Twilio Enterprise Data Strategy Build Out,Investigation & Analysis,Q4-2023,10/30/23,Client Referral,New Business,avery mccuistion,,,"Austin, TX",7/11/23,1/31/24,8/9/23,Low confidence,10,7/11/23,7/11/23,Direct,DDS,Avery Mccuistion,Twilio Inc.,0065c00001K82EQ,0065c00001K82EQAAZ,Investigation & Analysis,7/10/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
1500000,"Red Hat, Inc.",Red Hat - Data Governance & Advanced Analytics,Proposal Creation,Q2-2024,4/30/24,Industry,New Business,Akash Tiwari,AI/ML,45,"Raleigh, NC",11/24/23,4/26/24,10/19/23,High quality,30,1/13/23,7/3/23,Direct Procurement,Engineering projects,Kelly Hagan,"Red Hat, Inc.",0065c000016Amba,0065c000016AmbaAAC,Proposal Creation,,,,Yes,No,,HiTech,AI & Data Engineering,
650000,Adobe Systems Inc.,Adobe: Data Engineering: Engagement_Retention_Team,Negotiation/Review,Q4-2023,11/30/23,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",12/1/23,9/30/24,10/20/23,Commit,80,9/13/23,,Direct,Engineering projects,Derek Kryzda,Adobe Systems Inc.,0065c00001NHUoz,0065c00001NHUozAAH,Negotiation/Review,9/26/23 17:00,,,,No,Microsoft,HiTech,AI & Data Engineering,
500000,"Amazon.com, Inc.",Amazon: Fulfillment Engineering Technology- Chaitanya Sannathi,Inquiry,Q4-2023,12/31/23,Cold call,New Business,kora micklesen,,,"Seattle, WA",,,10/20/23,Low confidence,0,10/20/23,,Direct,Engineering projects,Kora Micklesen,"Amazon.com, Inc.",0065c00001O5Jdl,0065c00001O5JdlAAF,,10/19/23 17:00,,,,No,,HiTech,AI & Data Engineering,
40000,Hewlett-Packard Company,Computer Vision Solution for Field Support,Proposal Presentation,Q1-2024,1/1/24,Geo,New Business,william moreland,,39,"Denver, CO",9/11/23,7/12/24,10/11/23,High quality,50,3/8/23,3/8/23,Direct,Engineering projects,Bill Moreland,Hewlett-Packard Company,0065c000019jRof,0065c000019jRofAAE,Proposal Presentation,7/25/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
450000,Atlassian Corporation Plc,Atlassian: Data Engineering: Media Platform Services Migration,Qualification,Q4-2023,12/15/23,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",1/1/24,6/28/24,10/4/23,Low confidence,20,10/4/23,,Direct,Engineering projects,Megan Ogrady,Atlassian Corporation Plc,0065c00001Nh4ua,0065c00001Nh4uaAAB,,10/3/23 17:00,,,,No,,HiTech,AI & Data Engineering,
100000,Atlassian Corporation Plc,Atlassian: Data Engineering: AI/ML PoD for Central Search,Investigation & Analysis,Q1-2024,1/31/24,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",2/1/24,1/31/25,10/11/23,Low confidence,10,10/11/23,,Direct,Engineering projects,Megan Ogrady,Atlassian Corporation Plc,0065c00001NiUQ9,0065c00001NiUQ9AAN,,10/10/23 17:00,,,,No,,HiTech,AI & Data Engineering,
1000000,"Zoom Video Communications, Inc.",Zoom: Data Engineering: Data Engineering PoD at LATAM,Investigation & Analysis,Q4-2023,11/30/23,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",10/2/23,9/30/24,10/3/23,Low confidence,10,7/28/23,7/28/23,Proactive pitch,Engineering projects,Dillon Mcfarland,"Zoom Video Communications, Inc.",0065c00001JDaYj,0065c00001JDaYjAAL,Investigation & Analysis,7/27/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
65000,"Zoom Video Communications, Inc.",Zoom: Data Engineering: TPM roles at onsite and offshore,Proposal Creation,Q4-2023,11/30/23,Client Referral,New Business,Karthik Rajaram,,35,"Bay Area, CA",11/1/23,1/31/24,10/6/23,High quality,30,10/6/23,,Direct,Engineering projects,Dillon Mcfarland,"Zoom Video Communications, Inc.",0065c00001NhUBL,0065c00001NhUBLAA3,,10/5/23 17:00,,,,No,,HiTech,AI & Data Engineering,
200000,"Zoom Video Communications, Inc.",Zoom: Data Engineering: MDM Development,Inquiry,Q4-2023,12/31/23,Client Referral,New Business,Karthik Rajaram,,30,"Bay Area, CA",11/1/23,4/30/24,10/12/23,Low confidence,0,8/22/23,8/22/23,Direct,Engineering projects,Dillon Mcfarland,"Zoom Video Communications, Inc.",0065c00001Mn0QM,0065c00001Mn0QMAAZ,Inquiry,8/21/23 17:00,,,,No,,HiTech,AI & Data Engineering,
100000,"Zoom Video Communications, Inc.",Zoom: Data Engineering : Anomaly Detection for DevOps,Investigation & Analysis,Q4-2023,12/31/23,Client Referral,New Business,Amit Malasane,,35,"Bay Area, CA",10/1/23,12/31/23,10/12/23,Low confidence,10,8/30/23,8/30/23,Direct,Engineering projects,Dillon Mcfarland,"Zoom Video Communications, Inc.",0065c00001MpP74,0065c00001MpP74AAF,Investigation & Analysis,8/29/23 17:00,,,,No,,HiTech,AI & Data Engineering,
310000,"Amazon.com, Inc.",Amazon: Video Encoding - AWS Graviton Software,Proposal Presentation,Q4-2023,12/29/23,Other,New Business,Malak Qibaa,,30,"Seattle, WA",10/2/23,10/1/24,10/10/23,Commit,50,8/22/23,8/22/23,Direct,Engineering projects,Malak Qibaa,"Amazon.com, Inc.",0065c00001Mn2Zu,0065c00001Mn2ZuAAJ,Proposal Presentation,10/9/23 17:00,,,,Yes,,HiTech,AI & Data Engineering,
200000,Hewlett-Packard Company,OMEN Data Quality Audit,Proposal Creation,Q1-2024,1/1/24,Cold call,New Business,brevin vent,,,"Bay Area, CA",11/20/23,11/18/24,10/2/23,Low confidence,30,8/10/23,8/10/23,Direct,Engineering projects,Brevin Vent,Hewlett-Packard Company,0065c00001MeSRx,0065c00001MeSRxAAN,Proposal Creation,9/18/23 17:00,,,,No,,HiTech,AI & Data Engineering,
